2025-11-13T19:54:53.949 Device 79 | Lap 71 | Lap Time 0:32.550 | CumulativeField 204s | Avg Lap 0:45.288
2025-11-13T19:54:58.389 Device 27 | Lap 72 | Lap Time 0:35.130 | CumulativeField 136s | Avg Lap 0:35.819
2025-11-13T19:55:03.879 Device 60 | Lap 73 | Lap Time — | CumulativeField 174s | Avg Lap —
2025-11-13T19:55:10.179 Device 26 | Lap 74 | Lap Time 0:36.749 | CumulativeField 35s | Avg Lap 0:47.529
2025-11-13T19:55:21.459 Device 45 | Lap 75 | Lap Time 0:45.389 | CumulativeField 137s | Avg Lap 0:46.519
2025-11-13T19:55:28.691 Device 79 | Lap 76 | Lap Time 0:34.741 | CumulativeField 91s | Avg Lap 0:44.116
2025-11-13T19:55:31.329 Device 87 | Lap 77 | Lap Time — | CumulativeField 99s | Avg Lap —
2025-11-13T19:55:32.859 Device 27 | Lap 78 | Lap Time 0:34.470 | CumulativeField 247s | Avg Lap 0:35.627
2025-11-13T19:55:35.919 Device 60 | Lap 79 | Lap Time 0:32.040 | CumulativeField 46s | Avg Lap 0:32.040
2025-11-13T19:55:43.119 Device 26 | Lap 80 | Lap Time 0:32.940 | CumulativeField 254s | Avg Lap 0:46.486
2025-11-13T19:56:05.950 Device 79 | Lap 81 | Lap Time 0:37.259 | CumulativeField 229s | Avg Lap 0:43.431
2025-11-13T19:56:06.461 Device 24 | Lap 82 | Lap Time — | CumulativeField 25s | Avg Lap —
2025-11-13T19:56:16.750 Device 87 | Lap 83 | Lap Time 0:45.420 | CumulativeField 30s | Avg Lap 0:45.420
2025-11-13T19:56:19.091 Device 26 | Lap 84 | Lap Time 0:35.971 | CumulativeField 6s | Avg Lap 0:45.785
2025-11-13T19:56:22.691 Device 45 | Lap 85 | Lap Time 1:01.232 | CumulativeField 110s | Avg Lap 0:50.197
2025-11-13T19:56:23.020 Device 27 | Lap 86 | Lap Time 0:50.160 | CumulativeField 145s | Avg Lap 0:37.443
2025-11-13T19:56:37.210 Device 79 | Lap 87 | Lap Time 0:31.259 | CumulativeField 23s | Avg Lap 0:42.324
2025-11-13T19:56:38.020 Device 24 | Lap 88 | Lap Time 0:31.558 | CumulativeField 104s | Avg Lap 0:31.558
2025-11-13T19:56:46.720 Device 60 | Lap 89 | Lap Time 1:10.800 | CumulativeField 208s | Avg Lap 0:51.420
2025-11-13T19:56:52.840 Device 87 | Lap 90 | Lap Time 0:36.089 | CumulativeField 52s | Avg Lap 0:40.754
2025-11-13T19:57:02.620 Device 45 | Lap 91 | Lap Time 0:39.929 | CumulativeField 3s | Avg Lap 0:48.143
2025-11-13T19:57:06.521 Device 27 | Lap 92 | Lap Time 0:43.501 | CumulativeField 135s | Avg Lap 0:38.116
2025-11-13T19:57:10.721 Device 24 | Lap 93 | Lap Time 0:32.701 | CumulativeField 46s | Avg Lap 0:32.129
2025-11-13T19:57:41.380 Device 27 | Lap 94 | Lap Time 0:34.859 | CumulativeField 34s | Avg Lap 0:37.790
2025-11-13T19:57:42.731 Device 24 | Lap 95 | Lap Time 0:32.009 | CumulativeField 170s | Avg Lap 0:32.089
2025-11-13T19:57:52.363 Device 45 | Lap 96 | Lap Time 0:49.742 | CumulativeField 108s | Avg Lap 0:48.410
2025-11-13T19:58:16.301 Device 24 | Lap 97 | Lap Time 0:33.570 | CumulativeField 196s | Avg Lap 0:32.459
2025-11-13T19:58:31.300 Device 27 | Lap 98 | Lap Time 0:49.920 | CumulativeField 157s | Avg Lap 0:38.893
2025-11-13T19:58:33.341 Device 45 | Lap 99 | Lap Time 0:40.978 | CumulativeField 105s | Avg Lap 0:47.348
2025-11-13T19:58:49.871 Device 24 | Lap 100 | Lap Time 0:33.570 | CumulativeField 222s | Avg Lap 0:32.681
2025-11-13T19:59:05.201 Device 27 | Lap 101 | Lap Time 0:33.900 | CumulativeField 217s | Avg Lap 0:38.477
2025-11-13T19:59:18.881 Device 45 | Lap 102 | Lap Time 0:45.540 | CumulativeField 48s | Avg Lap 0:47.122
2025-11-13T19:59:38.861 Device 27 | Lap 103 | Lap Time 0:33.660 | CumulativeField 252s | Avg Lap 0:38.106
2025-11-13T20:00:02.891 Device 45 | Lap 104 | Lap Time 0:44.010 | CumulativeField 92s | Avg Lap 0:46.776
2025-11-13T20:00:23.682 Device 27 | Lap 105 | Lap Time 0:44.820 | CumulativeField 120s | Avg Lap 0:38.586
2025-11-13T20:00:56.922 Device 27 | Lap 106 | Lap Time 0:33.240 | CumulativeField 114s | Avg Lap 0:38.229
2025-11-13T20:02:39.855 Device 22 | Lap 107 | Lap Time 9:07.477 | CumulativeField 157s | Avg Lap 3:38.924
2025-11-13T20:04:12.914 Device 22 | Lap 108 | Lap Time 1:33.059 | CumulativeField 237s | Avg Lap 3:23.191
2025-11-13T20:05:03.135 Device 22 | Lap 109 | Lap Time 0:50.221 | CumulativeField 135s | Avg Lap 3:06.194
2025-11-13T20:05:45.555 Device 22 | Lap 110 | Lap Time 0:42.419 | CumulativeField 19s | Avg Lap 2:51.817
2025-11-13T20:06:09.045 Device 7 | Lap 111 | Lap Time 14:20.378 | CumulativeField 64s | Avg Lap 1:22.863
2025-11-13T20:06:12.675 Device 26 | Lap 112 | Lap Time 9:53.584 | CumulativeField 169s | Avg Lap 1:20.023
2025-11-13T20:06:26.985 Device 22 | Lap 113 | Lap Time 0:41.430 | CumulativeField 64s | Avg Lap 2:39.963
2025-11-13T20:06:43.966 Device 7 | Lap 114 | Lap Time 0:34.920 | CumulativeField 224s | Avg Lap 1:20.580
2025-11-13T20:06:48.016 Device 26 | Lap 115 | Lap Time 0:35.340 | CumulativeField 117s | Avg Lap 1:17.394
2025-11-13T20:07:14.982 Device 22 | Lap 116 | Lap Time 0:47.940 | CumulativeField 243s | Avg Lap 2:30.628
2025-11-13T20:07:21.402 Device 26 | Lap 117 | Lap Time 0:33.330 | CumulativeField 119s | Avg Lap 1:14.946
2025-11-13T20:08:26.353 Device 26 | Lap 118 | Lap Time 1:04.950 | CumulativeField 205s | Avg Lap 1:14.420
2025-11-13T20:08:50.533 Device 18 | Lap 119 | Lap Time — | CumulativeField 61s | Avg Lap —
2025-11-13T20:08:59.834 Device 26 | Lap 120 | Lap Time 0:33.480 | CumulativeField 223s | Avg Lap 1:12.373
2025-11-13T20:09:15.704 Device 23 | Lap 121 | Lap Time — | CumulativeField 15s | Avg Lap —
2025-11-13T20:09:21.854 Device 45 | Lap 122 | Lap Time 9:18.906 | CumulativeField 118s | Avg Lap 1:37.989
2025-11-13T20:09:27.284 Device 18 | Lap 123 | Lap Time 0:36.750 | CumulativeField 148s | Avg Lap 0:36.750
2025-11-13T20:09:32.924 Device 26 | Lap 124 | Lap Time 0:33.090 | CumulativeField 200s | Avg Lap 1:10.502
2025-11-13T20:09:50.084 Device 23 | Lap 125 | Lap Time 0:34.380 | CumulativeField 122s | Avg Lap 0:34.380
2025-11-13T20:10:02.115 Device 18 | Lap 126 | Lap Time 0:34.830 | CumulativeField 44s | Avg Lap 0:35.790
2025-11-13T20:10:05.685 Device 26 | Lap 127 | Lap Time 0:32.760 | CumulativeField 145s | Avg Lap 1:08.787
2025-11-13T20:10:08.865 Device 45 | Lap 128 | Lap Time 0:47.010 | CumulativeField 205s | Avg Lap 1:33.355
2025-11-13T20:10:37.005 Device 18 | Lap 129 | Lap Time 0:34.890 | CumulativeField 201s | Avg Lap 0:35.490
2025-11-13T20:10:40.486 Device 26 | Lap 130 | Lap Time 0:34.800 | CumulativeField 38s | Avg Lap 1:07.309
